ANNOSCOLASTICO,PROVINCIA,ORDINESCUOLA,TIPOPOSTO,FASCIAETA,DOCENTITITOLARIMASCHI,DOCENTITITOLARIFEMMINE
201617,ISERNIA,SCUOLA INFANZIA,NORMALE,TRA 45 E 54,0,53
201617,CATANIA,SCUOLA PRIMARIA,SOSTEGNO,TRA 45 E 54,10,363
201617,VARESE,SCUOLA SECONDARIA I GRADO,SOSTEGNO,TRA 45 E 54,11,59
201617,FOGGIA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,TRA 35 E 44,27,69
201617,REGGIO CALABRIA,SCUOLA INFANZIA,NORMALE,FINO A 34,0,5
201617,CARBONIA-IGLESIAS,SCUOLA PRIMARIA,NORMALE,TRA 45 E 54,3,151
201617,BARI,SCUOLA INFANZIA,SOSTEGNO,OLTRE 54,0,23
201617,CAGLIARI,SCUOLA PRIMARIA,NORMALE,OLTRE 54,34,659
201617,CROTONE,SCUOLA SECONDARIA II GRADO,SOSTEGNO,TRA 45 E 54,18,20
201617,TORINO,SCUOLA SECONDARIA I GRADO,NORMALE,TRA 35 E 44,259,896
201617,PADOVA,SCUOLA INFANZIA,NORMALE,OLTRE 54,0,169
201617,MODENA,SCUOLA PRIMARIA,SOSTEGNO,OLTRE 54,1,25
201617,RAGUSA,SCUOLA PRIMARIA,SOSTEGNO,OLTRE 54,2,20
201617,BRINDISI,SCUOLA INFANZIA,SOSTEGNO,OLTRE 54,0,18
201617,MONZA E BRIANZA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,OLTRE 54,11,40
201617,LATINA,SCUOLA INFANZIA,SOSTEGNO,FINO A 34,0,22
201617,VERONA,SCUOLA PRIMARIA,SOSTEGNO,OLTRE 54,5,50
201617,RIMINI,SCUOLA INFANZIA,SOSTEGNO,FINO A 34,0,10
201617,SIRACUSA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,OLTRE 54,38,70
201617,PISA,SCUOLA INFANZIA,SOSTEGNO,TRA 35 E 44,1,17
201617,ASCOLI PICENO,SCUOLA INFANZIA,NORMALE,TRA 35 E 44,0,87
201617,PESARO E URBINO,SCUOLA SECONDARIA I GRADO,SOSTEGNO,FINO A 34,0,5
201617,RAVENNA,SCUOLA INFANZIA,NORMALE,TRA 45 E 54,1,119
201617,OLBIA-TEMPIO,SCUOLA INFANZIA,NORMALE,TRA 35 E 44,0,45
201617,BERGAMO,SCUOLA PRIMARIA,SOSTEGNO,TRA 45 E 54,5,106
201617,BRESCIA,SCUOLA SECONDARIA II GRADO,NORMALE,TRA 45 E 54,444,953
201617,PESCARA,SCUOLA INFANZIA,SOSTEGNO,OLTRE 54,0,7
201617,FERRARA,SCUOLA PRIMARIA,NORMALE,TRA 45 E 54,19,459
201617,CAGLIARI,SCUOLA PRIMARIA,NORMALE,TRA 35 E 44,21,386
201617,ASTI,SCUOLA SECONDARIA I GRADO,SOSTEGNO,TRA 35 E 44,1,10
201617,PESCARA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,FINO A 34,0,2
201617,NUORO,SCUOLA SECONDARIA I GRADO,NORMALE,FINO A 34,2,6
201617,AGRIGENTO,SCUOLA PRIMARIA,SOSTEGNO,OLTRE 54,5,65
201617,MATERA,SCUOLA PRIMARIA,SOSTEGNO,FINO A 34,0,10
201617,BIELLA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,FINO A 34,0,6
201617,SIRACUSA,SCUOLA PRIMARIA,NORMALE,OLTRE 54,12,544
201617,AVELLINO,SCUOLA PRIMARIA,NORMALE,TRA 35 E 44,15,190
201617,ASCOLI PICENO,SCUOLA PRIMARIA,SOSTEGNO,FINO A 34,0,16
201617,TREVISO,SCUOLA SECONDARIA I GRADO,SOSTEGNO,FINO A 34,1,4
201617,COMO,SCUOLA INFANZIA,NORMALE,OLTRE 54,0,176
201617,PRATO,SCUOLA SECONDARIA II GRADO,NORMALE,OLTRE 54,130,243
201617,PAVIA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,FINO A 34,2,1
201617,ANCONA,SCUOLA INFANZIA,SOSTEGNO,FINO A 34,0,46
201617,BARLETTA-ADRIA-TRANI,SCUOLA INFANZIA,NORMALE,FINO A 34,0,1
201617,MACERATA,SCUOLA INFANZIA,NORMALE,OLTRE 54,2,208
201617,BERGAMO,SCUOLA SECONDARIA I GRADO,SOSTEGNO,FINO A 34,4,10
201617,VITERBO,SCUOLA INFANZIA,SOSTEGNO,TRA 35 E 44,0,11
201617,PISA,SCUOLA SECONDARIA I GRADO,NORMALE,TRA 35 E 44,46,160
201617,PADOVA,SCUOLA PRIMARIA,SOSTEGNO,TRA 45 E 54,7,56
201617,VERBANO-CUSIO-OSSOLA,SCUOLA SECONDARIA II GRADO,NORMALE,TRA 35 E 44,37,78
201617,TORINO,SCUOLA SECONDARIA I GRADO,SOSTEGNO,TRA 35 E 44,32,124
201617,SAVONA,SCUOLA INFANZIA,SOSTEGNO,TRA 45 E 54,0,7
201617,NUORO,SCUOLA INFANZIA,SOSTEGNO,OLTRE 54,0,2
201617,FERRARA,SCUOLA INFANZIA,NORMALE,OLTRE 54,0,68
201617,NAPOLI,SCUOLA PRIMARIA,NORMALE,FINO A 34,3,45
201617,BENEVENTO,SCUOLA PRIMARIA,NORMALE,TRA 45 E 54,8,406
201617,PERUGIA,SCUOLA PRIMARIA,SOSTEGNO,TRA 45 E 54,1,58
201617,BENEVENTO,SCUOLA INFANZIA,SOSTEGNO,FINO A 34,0,9
201617,RIETI,SCUOLA SECONDARIA I GRADO,SOSTEGNO,FINO A 34,0,1
201617,MACERATA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,TRA 45 E 54,14,55
201617,CALTANISSETTA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,OLTRE 54,25,38
201617,LATINA,SCUOLA SECONDARIA II GRADO,NORMALE,TRA 35 E 44,92,243
201617,MANTOVA,SCUOLA SECONDARIA I GRADO,NORMALE,TRA 35 E 44,35,138
201617,MONZA E BRIANZA,SCUOLA PRIMARIA,NORMALE,TRA 35 E 44,34,647
201617,PORDENONE,SCUOLA SECONDARIA II GRADO,NORMALE,TRA 45 E 54,110,239
201617,BARI,SCUOLA SECONDARIA II GRADO,NORMALE,OLTRE 54,1134,1650
201617,PARMA,SCUOLA INFANZIA,SOSTEGNO,OLTRE 54,0,1
201617,ISERNIA,SCUOLA SECONDARIA I GRADO,NORMALE,TRA 35 E 44,7,26
201617,TREVISO,SCUOLA SECONDARIA I GRADO,SOSTEGNO,TRA 35 E 44,20,65
201617,GROSSETO,SCUOLA INFANZIA,NORMALE,OLTRE 54,1,116
201617,COMO,SCUOLA INFANZIA,SOSTEGNO,FINO A 34,0,8
201617,FROSINONE,SCUOLA INFANZIA,SOSTEGNO,TRA 35 E 44,1,50
201617,FERRARA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,TRA 45 E 54,14,52
201617,SALERNO,SCUOLA SECONDARIA II GRADO,NORMALE,TRA 45 E 54,478,1148
201617,FORLI'-CESENA,SCUOLA SECONDARIA II GRADO,NORMALE,OLTRE 54,281,408
201617,MILANO,SCUOLA INFANZIA,SOSTEGNO,TRA 35 E 44,2,63
201617,ROVIGO,SCUOLA PRIMARIA,SOSTEGNO,TRA 45 E 54,0,30
201617,REGGIO EMILIA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,TRA 45 E 54,12,37
201617,BARLETTA-ADRIA-TRANI,SCUOLA INFANZIA,NORMALE,TRA 35 E 44,1,118
201617,PESCARA,SCUOLA SECONDARIA II GRADO,NORMALE,FINO A 34,4,5
201617,MACERATA,SCUOLA SECONDARIA I GRADO,NORMALE,OLTRE 54,76,187
201617,REGGIO CALABRIA,SCUOLA PRIMARIA,SOSTEGNO,TRA 45 E 54,5,135
201617,ROMA,SCUOLA SECONDARIA I GRADO,NORMALE,FINO A 34,20,48
201617,RAGUSA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,TRA 45 E 54,32,57
201617,TORINO,SCUOLA SECONDARIA II GRADO,SOSTEGNO,OLTRE 54,51,95
201617,CHIETI,SCUOLA SECONDARIA I GRADO,NORMALE,TRA 35 E 44,29,147
201617,MODENA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,TRA 35 E 44,47,132
201617,MATERA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,TRA 45 E 54,17,33
201617,NAPOLI,SCUOLA SECONDARIA I GRADO,NORMALE,TRA 35 E 44,296,1338
201617,BARLETTA-ADRIA-TRANI,SCUOLA SECONDARIA II GRADO,NORMALE,OLTRE 54,253,320
201617,PRATO,SCUOLA PRIMARIA,SOSTEGNO,TRA 35 E 44,2,31
201617,LODI,SCUOLA SECONDARIA I GRADO,NORMALE,TRA 35 E 44,13,75
201617,VERONA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,TRA 35 E 44,33,114
201617,NUORO,SCUOLA INFANZIA,NORMALE,OLTRE 54,1,178
201617,IMPERIA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,FINO A 34,1,0
201617,FOGGIA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,FINO A 34,0,3
201617,CAMPOBASSO,SCUOLA INFANZIA,NORMALE,TRA 45 E 54,0,153
201617,ORISTANO,SCUOLA INFANZIA,NORMALE,TRA 45 E 54,0,85
201617,LA SPEZIA,SCUOLA PRIMARIA,SOSTEGNO,TRA 45 E 54,0,17
201617,TRIESTE,SCUOLA SECONDARIA II GRADO,NORMALE,FINO A 34,3,1
201617,BARI,SCUOLA SECONDARIA II GRADO,SOSTEGNO,OLTRE 54,41,115
201617,NOVARA,SCUOLA INFANZIA,NORMALE,FINO A 34,1,17
201617,PIACENZA,SCUOLA INFANZIA,SOSTEGNO,TRA 35 E 44,1,14
201617,LECCO,SCUOLA PRIMARIA,SOSTEGNO,TRA 45 E 54,2,29
201617,OLBIA-TEMPIO,SCUOLA SECONDARIA I GRADO,SOSTEGNO,TRA 45 E 54,4,10
201617,RAVENNA,SCUOLA SECONDARIA I GRADO,NORMALE,FINO A 34,1,11
201617,BARI,SCUOLA SECONDARIA II GRADO,SOSTEGNO,FINO A 34,1,1
201617,ALESSANDRIA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,OLTRE 54,9,45
201617,PALERMO,SCUOLA INFANZIA,SOSTEGNO,TRA 45 E 54,2,60
201617,VITERBO,SCUOLA PRIMARIA,NORMALE,TRA 45 E 54,9,402
201617,MASSA,SCUOLA INFANZIA,SOSTEGNO,FINO A 34,0,4
201617,PRATO,SCUOLA INFANZIA,NORMALE,TRA 45 E 54,0,125
201617,PISA,SCUOLA INFANZIA,SOSTEGNO,FINO A 34,0,9
201617,TRIESTE,SCUOLA SECONDARIA II GRADO,NORMALE,TRA 45 E 54,76,173
201617,AGRIGENTO,SCUOLA INFANZIA,NORMALE,TRA 35 E 44,8,142
201617,PISTOIA,SCUOLA SECONDARIA II GRADO,NORMALE,OLTRE 54,188,280
201617,SASSARI,SCUOLA PRIMARIA,SOSTEGNO,OLTRE 54,2,15
201617,ROMA,SCUOLA SECONDARIA II GRADO,NORMALE,FINO A 34,27,56
201617,BRINDISI,SCUOLA INFANZIA,NORMALE,FINO A 34,0,6
201617,BENEVENTO,SCUOLA SECONDARIA II GRADO,SOSTEGNO,OLTRE 54,15,34
201617,MONZA E BRIANZA,SCUOLA PRIMARIA,SOSTEGNO,TRA 45 E 54,5,51
201617,GENOVA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,TRA 35 E 44,27,110
201617,SALERNO,SCUOLA SECONDARIA II GRADO,SOSTEGNO,OLTRE 54,55,97
201617,VIBO VALENTIA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,OLTRE 54,11,27
201617,RAGUSA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,OLTRE 54,15,15
201617,VERONA,SCUOLA SECONDARIA II GRADO,NORMALE,TRA 35 E 44,152,334
201617,UDINE,SCUOLA INFANZIA,NORMALE,OLTRE 54,0,346
201617,IMPERIA,SCUOLA SECONDARIA I GRADO,NORMALE,TRA 45 E 54,20,118
201617,SONDRIO,SCUOLA PRIMARIA,SOSTEGNO,OLTRE 54,1,9
201617,PIACENZA,SCUOLA INFANZIA,NORMALE,OLTRE 54,0,99
201617,ISERNIA,SCUOLA SECONDARIA II GRADO,NORMALE,TRA 35 E 44,15,45
201617,CAMPOBASSO,SCUOLA INFANZIA,NORMALE,OLTRE 54,0,164
201617,MEDIO-CAMPITANO,SCUOLA INFANZIA,SOSTEGNO,OLTRE 54,0,6
201617,AREZZO,SCUOLA INFANZIA,SOSTEGNO,TRA 45 E 54,0,3
201617,TRIESTE,SCUOLA SECONDARIA I GRADO,NORMALE,FINO A 34,3,5
201617,MATERA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,OLTRE 54,11,12
201617,CALTANISSETTA,SCUOLA INFANZIA,SOSTEGNO,FINO A 34,0,2
201617,AVELLINO,SCUOLA INFANZIA,NORMALE,TRA 45 E 54,9,226
201617,UDINE,SCUOLA PRIMARIA,SOSTEGNO,TRA 35 E 44,1,79
201617,PERUGIA,SCUOLA SECONDARIA II GRADO,NORMALE,FINO A 34,6,8
201617,ALESSANDRIA,SCUOLA SECONDARIA I GRADO,NORMALE,FINO A 34,8,23
201617,ALESSANDRIA,SCUOLA SECONDARIA II GRADO,NORMALE,FINO A 34,13,14
201617,RAGUSA,SCUOLA INFANZIA,NORMALE,TRA 45 E 54,3,296
201617,SALERNO,SCUOLA INFANZIA,NORMALE,OLTRE 54,3,1033
201617,MACERATA,SCUOLA PRIMARIA,NORMALE,OLTRE 54,16,348
201617,PAVIA,SCUOLA SECONDARIA I GRADO,NORMALE,OLTRE 54,90,334
201617,COSENZA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,TRA 35 E 44,3,18
201617,AREZZO,SCUOLA SECONDARIA I GRADO,NORMALE,TRA 35 E 44,33,124
201617,ORISTANO,SCUOLA SECONDARIA I GRADO,NORMALE,TRA 35 E 44,23,43
201617,PADOVA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,OLTRE 54,9,37
201617,BRINDISI,SCUOLA INFANZIA,NORMALE,TRA 35 E 44,2,122
201617,TORINO,SCUOLA INFANZIA,NORMALE,TRA 45 E 54,5,1163
201617,BOLOGNA,SCUOLA SECONDARIA II GRADO,NORMALE,TRA 35 E 44,178,372
201617,GROSSETO,SCUOLA INFANZIA,SOSTEGNO,FINO A 34,0,5
201617,LATINA,SCUOLA PRIMARIA,SOSTEGNO,OLTRE 54,0,25
201617,NUORO,SCUOLA INFANZIA,NORMALE,FINO A 34,0,2
201617,FERRARA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,OLTRE 54,8,18
201617,MANTOVA,SCUOLA PRIMARIA,NORMALE,TRA 45 E 54,17,548
201617,MASSA,SCUOLA SECONDARIA II GRADO,NORMALE,OLTRE 54,147,288
201617,BIELLA,SCUOLA PRIMARIA,SOSTEGNO,FINO A 34,0,18
201617,LA SPEZIA,SCUOLA SECONDARIA II GRADO,NORMALE,TRA 45 E 54,76,161
201617,ASTI,SCUOLA SECONDARIA II GRADO,NORMALE,TRA 35 E 44,36,62
201617,NOVARA,SCUOLA SECONDARIA I GRADO,NORMALE,FINO A 34,5,15
201617,LUCCA,SCUOLA INFANZIA,NORMALE,TRA 45 E 54,2,206
201617,POTENZA,SCUOLA INFANZIA,NORMALE,TRA 35 E 44,1,102
201617,COMO,SCUOLA SECONDARIA II GRADO,SOSTEGNO,TRA 35 E 44,15,36
201617,BRESCIA,SCUOLA INFANZIA,SOSTEGNO,TRA 45 E 54,0,16
201617,VIBO VALENTIA,SCUOLA SECONDARIA II GRADO,NORMALE,TRA 35 E 44,37,75
201617,MEDIO-CAMPITANO,SCUOLA PRIMARIA,NORMALE,FINO A 34,0,3
201617,ENNA,SCUOLA INFANZIA,NORMALE,TRA 35 E 44,2,51
201617,PORDENONE,SCUOLA SECONDARIA I GRADO,NORMALE,OLTRE 54,69,150
201617,BARLETTA-ADRIA-TRANI,SCUOLA SECONDARIA II GRADO,SOSTEGNO,FINO A 34,0,2
201617,POTENZA,SCUOLA PRIMARIA,SOSTEGNO,TRA 35 E 44,7,73
201617,BERGAMO,SCUOLA INFANZIA,SOSTEGNO,FINO A 34,0,12
201617,CREMONA,SCUOLA PRIMARIA,NORMALE,TRA 35 E 44,11,296
201617,CREMONA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,FINO A 34,1,6
201617,PRATO,SCUOLA PRIMARIA,SOSTEGNO,TRA 45 E 54,2,22
201617,LECCE,SCUOLA SECONDARIA I GRADO,NORMALE,OLTRE 54,243,741
201617,BARI,SCUOLA PRIMARIA,SOSTEGNO,FINO A 34,0,125
201617,VERCELLI,SCUOLA PRIMARIA,SOSTEGNO,FINO A 34,1,16
201617,VERCELLI,SCUOLA INFANZIA,NORMALE,TRA 45 E 54,0,103
201617,CARBONIA-IGLESIAS,SCUOLA INFANZIA,SOSTEGNO,FINO A 34,0,2
201617,BRESCIA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,FINO A 34,4,10
201617,FOGGIA,SCUOLA INFANZIA,SOSTEGNO,FINO A 34,0,11
201617,NAPOLI,SCUOLA PRIMARIA,SOSTEGNO,TRA 35 E 44,40,899
201617,SASSARI,SCUOLA SECONDARIA I GRADO,SOSTEGNO,TRA 35 E 44,8,56
201617,GENOVA,SCUOLA PRIMARIA,SOSTEGNO,OLTRE 54,6,54
201617,BOLOGNA,SCUOLA INFANZIA,SOSTEGNO,TRA 35 E 44,1,26
201617,CUNEO,SCUOLA SECONDARIA I GRADO,SOSTEGNO,TRA 45 E 54,9,38
201617,MESSINA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,TRA 45 E 54,43,143
201617,GORIZIA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,TRA 45 E 54,3,14
201617,VERONA,SCUOLA INFANZIA,SOSTEGNO,FINO A 34,0,27
201617,PALERMO,SCUOLA PRIMARIA,SOSTEGNO,TRA 35 E 44,40,367
201617,PAVIA,SCUOLA INFANZIA,NORMALE,TRA 35 E 44,1,188
201617,MANTOVA,SCUOLA PRIMARIA,NORMALE,FINO A 34,1,62
201617,L'AQUILA,SCUOLA SECONDARIA I GRADO,NORMALE,TRA 35 E 44,28,96
201617,PESCARA,SCUOLA PRIMARIA,SOSTEGNO,FINO A 34,2,28
201617,PISTOIA,SCUOLA PRIMARIA,NORMALE,FINO A 34,0,23
201617,VITERBO,SCUOLA SECONDARIA II GRADO,SOSTEGNO,TRA 35 E 44,11,33
201617,MONZA E BRIANZA,SCUOLA SECONDARIA I GRADO,NORMALE,TRA 45 E 54,58,402
201617,VERBANO-CUSIO-OSSOLA,SCUOLA INFANZIA,SOSTEGNO,FINO A 34,0,11
201617,ANCONA,SCUOLA INFANZIA,SOSTEGNO,TRA 45 E 54,0,10
201617,COMO,SCUOLA SECONDARIA II GRADO,NORMALE,OLTRE 54,263,391
201617,SIRACUSA,SCUOLA PRIMARIA,SOSTEGNO,TRA 45 E 54,15,156
201617,CAMPOBASSO,SCUOLA SECONDARIA II GRADO,NORMALE,TRA 45 E 54,130,275
201617,SALERNO,SCUOLA SECONDARIA I GRADO,NORMALE,TRA 45 E 54,282,698
201617,LIVORNO,SCUOLA SECONDARIA II GRADO,NORMALE,TRA 35 E 44,49,110
201617,TORINO,SCUOLA INFANZIA,SOSTEGNO,FINO A 34,1,94
201617,FERMO,SCUOLA SECONDARIA II GRADO,NORMALE,OLTRE 54,130,162
201617,CUNEO,SCUOLA SECONDARIA I GRADO,SOSTEGNO,FINO A 34,2,3
201617,OLBIA-TEMPIO,SCUOLA PRIMARIA,SOSTEGNO,TRA 45 E 54,1,11
201617,FERRARA,SCUOLA INFANZIA,SOSTEGNO,TRA 35 E 44,0,12
201617,REGGIO EMILIA,SCUOLA PRIMARIA,SOSTEGNO,TRA 35 E 44,12,112
201617,MESSINA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,TRA 35 E 44,7,55
201617,BOLOGNA,SCUOLA INFANZIA,SOSTEGNO,OLTRE 54,0,3
201617,BERGAMO,SCUOLA INFANZIA,SOSTEGNO,TRA 35 E 44,0,20
201617,PERUGIA,SCUOLA PRIMARIA,NORMALE,TRA 35 E 44,26,579
201617,POTENZA,SCUOLA SECONDARIA I GRADO,NORMALE,OLTRE 54,145,398
201617,CATANIA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,FINO A 34,2,8
201617,ASCOLI PICENO,SCUOLA SECONDARIA I GRADO,SOSTEGNO,OLTRE 54,3,10
201617,TRAPANI,SCUOLA SECONDARIA II GRADO,NORMALE,TRA 35 E 44,74,105
201617,MODENA,SCUOLA PRIMARIA,SOSTEGNO,TRA 35 E 44,10,159
201617,GORIZIA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,FINO A 34,0,1
201617,CARBONIA-IGLESIAS,SCUOLA PRIMARIA,NORMALE,OLTRE 54,11,196
201617,FOGGIA,SCUOLA SECONDARIA II GRADO,NORMALE,TRA 35 E 44,113,257
201617,MANTOVA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,FINO A 34,0,6
201617,IMPERIA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,TRA 35 E 44,15,33
201617,TORINO,SCUOLA SECONDARIA I GRADO,NORMALE,TRA 45 E 54,223,1222
201617,VICENZA,SCUOLA INFANZIA,NORMALE,FINO A 34,2,11
201617,VERONA,SCUOLA INFANZIA,SOSTEGNO,TRA 35 E 44,1,17
201617,FIRENZE,SCUOLA SECONDARIA II GRADO,SOSTEGNO,TRA 35 E 44,37,133
201617,RAGUSA,SCUOLA SECONDARIA II GRADO,NORMALE,FINO A 34,2,4
201617,COMO,SCUOLA PRIMARIA,SOSTEGNO,TRA 45 E 54,1,36
201617,VERONA,SCUOLA SECONDARIA I GRADO,NORMALE,FINO A 34,8,7
201617,FORLI'-CESENA,SCUOLA PRIMARIA,NORMALE,FINO A 34,0,37
201617,RAVENNA,SCUOLA INFANZIA,NORMALE,FINO A 34,0,9
201617,IMPERIA,SCUOLA PRIMARIA,NORMALE,TRA 35 E 44,4,134
201617,CHIETI,SCUOLA INFANZIA,SOSTEGNO,FINO A 34,0,21
201617,CAMPOBASSO,SCUOLA SECONDARIA II GRADO,NORMALE,FINO A 34,2,5
201617,LA SPEZIA,SCUOLA PRIMARIA,NORMALE,TRA 45 E 54,10,277
201617,TERAMO,SCUOLA PRIMARIA,SOSTEGNO,TRA 35 E 44,5,98
201617,SAVONA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,TRA 35 E 44,3,21
201617,PORDENONE,SCUOLA SECONDARIA II GRADO,SOSTEGNO,OLTRE 54,6,17
201617,OLBIA-TEMPIO,SCUOLA SECONDARIA I GRADO,SOSTEGNO,TRA 35 E 44,1,17
201617,REGGIO CALABRIA,SCUOLA INFANZIA,SOSTEGNO,OLTRE 54,0,21
201617,COSENZA,SCUOLA PRIMARIA,NORMALE,FINO A 34,2,41
201617,SIRACUSA,SCUOLA SECONDARIA I GRADO,SOSTEGNO,TRA 45 E 54,27,73
201617,CARBONIA-IGLESIAS,SCUOLA SECONDARIA I GRADO,NORMALE,TRA 45 E 54,22,69
201617,TRIESTE,SCUOLA PRIMARIA,NORMALE,TRA 35 E 44,9,167
201617,VERBANO-CUSIO-OSSOLA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,TRA 45 E 54,5,13
201617,FERRARA,SCUOLA PRIMARIA,SOSTEGNO,TRA 45 E 54,4,32
201617,MILANO,SCUOLA SECONDARIA II GRADO,NORMALE,TRA 45 E 54,854,2185
201617,LODI,SCUOLA INFANZIA,NORMALE,FINO A 34,0,8
201617,SIRACUSA,SCUOLA SECONDARIA II GRADO,SOSTEGNO,OLTRE 54,24,55
201617,VICENZA,SCUOLA INFANZIA,SOSTEGNO,TRA 45 E 54,0,5
201617,IMPERIA,SCUOLA INFANZIA,NORMALE,OLTRE 54,2,135
